day,tang_capital_money,tang_capital_population,tang_capital_military_experience
1,5015,200008,109
2,5030,200016,118
3,5045,200024,127
4,5061,200032,136
5,5077,200040,145
6,5093,200048,154
7,5109,200056,163
8,5125,200064,172
9,5141,200072,181
10,5157,200080,190
11,5173,200088,199
12,5189,200096,208
13,5205,200104,217
14,5221,200112,226
15,5237,200120,235
16,5253,200128,244
17,5269,200136,253
18,5286,200144,262
19,5303,200152,271
20,5320,200160,280
21,5337,200168,289
22,5354,200176,298
23,5371,200184,307
24,5388,200192,316
25,5405,200200,325
26,5422,200208,334
27,5439,200216,343
28,5456,200224,352
29,5473,200232,361
30,5490,200240,370
